PostId; PostHistoryId; PostBlockTypeId; LocalId; PredLocalId; SuccLocalId; Comment
"26707385"; "76822640"; "1"; "1"; "null"; "1"; ""; 
"26707385"; "76822981"; "1"; "1"; "1"; "1"; ""; 
"26707385"; "76931337"; "1"; "1"; "1"; "1"; ""; 
"26707385"; "76932502"; "1"; "1"; "1"; "1"; ""; 
"26707385"; "146726816"; "1"; "1"; "1"; "null"; ""; 
"26707385"; "76822640"; "2"; "2"; "null"; "2"; ""; 
"26707385"; "76822981"; "2"; "2"; "2"; "2"; ""; 
"26707385"; "76931337"; "2"; "2"; "2"; "2"; ""; 
"26707385"; "76932502"; "2"; "2"; "2"; "2"; ""; 
"26707385"; "146726816"; "2"; "2"; "2"; "null"; ""; 
"26707385"; "76822640"; "1"; "3"; "null"; "3"; ""; 
"26707385"; "76822981"; "1"; "3"; "3"; "3"; ""; 
"26707385"; "76931337"; "1"; "3"; "3"; "3"; ""; 
"26707385"; "76932502"; "1"; "3"; "3"; "3"; ""; 
"26707385"; "146726816"; "1"; "3"; "3"; "null"; ""; 
"26707385"; "76822640"; "2"; "4"; "null"; "4"; ""; 
"26707385"; "76822981"; "2"; "4"; "4"; "4"; ""; 
"26707385"; "76931337"; "2"; "4"; "4"; "4"; ""; 
"26707385"; "76932502"; "2"; "4"; "4"; "4"; ""; 
"26707385"; "146726816"; "2"; "4"; "4"; "null"; ""; 
"26707385"; "76822640"; "1"; "5"; "null"; "5"; ""; 
"26707385"; "76822981"; "1"; "5"; "5"; "5"; ""; 
"26707385"; "76931337"; "1"; "5"; "5"; "5"; ""; 
"26707385"; "76932502"; "1"; "5"; "5"; "5"; ""; 
"26707385"; "146726816"; "1"; "5"; "5"; "null"; ""; 
"26707385"; "76822640"; "2"; "6"; "null"; "6"; ""; 
"26707385"; "76822981"; "2"; "6"; "6"; "6"; ""; 
"26707385"; "76931337"; "2"; "6"; "6"; "6"; ""; 
"26707385"; "76932502"; "2"; "6"; "6"; "6"; ""; 
"26707385"; "146726816"; "2"; "6"; "6"; "null"; ""; 
"26707385"; "76822640"; "1"; "7"; "null"; "7"; ""; 
"26707385"; "76822981"; "1"; "7"; "7"; "7"; ""; 
"26707385"; "76931337"; "1"; "7"; "7"; "7"; ""; 
"26707385"; "76932502"; "1"; "7"; "7"; "7"; ""; 
"26707385"; "146726816"; "1"; "7"; "7"; "null"; ""; 
"26707385"; "76822640"; "2"; "8"; "null"; "8"; ""; 
"26707385"; "76822981"; "2"; "8"; "8"; "8"; ""; 
"26707385"; "76931337"; "2"; "8"; "8"; "8"; ""; 
"26707385"; "76932502"; "2"; "8"; "8"; "8"; ""; 
"26707385"; "146726816"; "2"; "8"; "8"; "null"; ""; 
"26707385"; "76822640"; "1"; "9"; "null"; "9"; ""; 
"26707385"; "76822981"; "1"; "9"; "9"; "9"; ""; 
"26707385"; "76931337"; "1"; "9"; "9"; "9"; ""; 
"26707385"; "76932502"; "1"; "9"; "9"; "9"; ""; 
"26707385"; "146726816"; "1"; "9"; "9"; "null"; ""; 
"26707385"; "76822640"; "2"; "10"; "null"; "10"; ""; 
"26707385"; "76822981"; "2"; "10"; "10"; "10"; ""; 
"26707385"; "76931337"; "2"; "10"; "10"; "10"; ""; 
"26707385"; "76932502"; "2"; "10"; "10"; "10"; ""; 
"26707385"; "146726816"; "2"; "10"; "10"; "null"; ""; 
"26707385"; "76822640"; "1"; "11"; "null"; "11"; ""; 
"26707385"; "76822981"; "1"; "11"; "11"; "11"; ""; 
"26707385"; "76931337"; "1"; "11"; "11"; "11"; ""; 
"26707385"; "76932502"; "1"; "11"; "11"; "11"; ""; 
"26707385"; "146726816"; "1"; "11"; "11"; "null"; ""; 
"26707385"; "76822640"; "2"; "12"; "null"; "12"; ""; 
"26707385"; "76822981"; "2"; "12"; "12"; "12"; ""; 
"26707385"; "76931337"; "2"; "12"; "12"; "12"; ""; 
"26707385"; "76932502"; "2"; "12"; "12"; "12"; ""; 
"26707385"; "146726816"; "2"; "12"; "12"; "null"; ""; 
"26707385"; "76822640"; "1"; "13"; "null"; "13"; ""; 
"26707385"; "76822981"; "1"; "13"; "13"; "13"; ""; 
"26707385"; "76931337"; "1"; "13"; "13"; "13"; ""; 
"26707385"; "76932502"; "1"; "13"; "13"; "13"; ""; 
"26707385"; "146726816"; "1"; "13"; "13"; "null"; ""; 
"26707385"; "76822640"; "2"; "14"; "null"; "14"; ""; 
"26707385"; "76822981"; "2"; "14"; "14"; "14"; ""; 
"26707385"; "76931337"; "2"; "14"; "14"; "14"; ""; 
"26707385"; "76932502"; "2"; "14"; "14"; "14"; ""; 
"26707385"; "146726816"; "2"; "14"; "14"; "null"; ""; 
"26707385"; "76822640"; "1"; "15"; "null"; "15"; ""; 
"26707385"; "76822981"; "1"; "15"; "15"; "15"; ""; 
"26707385"; "76931337"; "1"; "15"; "15"; "15"; ""; 
"26707385"; "76932502"; "1"; "15"; "15"; "15"; ""; 
"26707385"; "146726816"; "1"; "15"; "15"; "null"; ""; 
"26707385"; "76931337"; "2"; "16"; "null"; "null"; ""; 
"26707385"; "76931337"; "1"; "17"; "null"; "null"; ""; 
"26707385"; "76931337"; "2"; "18"; "null"; "null"; ""; 
"26707385"; "76931337"; "1"; "19"; "null"; "null"; ""; 
