number of code lines;frequencies
1;29953
2;10795
3;11285
4;9515
5;8498
6;7197
7;6254
8;5460
9;4700
10;4218
11;3748
12;3448
13;3110
14;2730
15;2579
16;2177
17;2089
18;1832
19;1693
20;1536
21;1392
22;1352
23;1117
24;1135
25;1030
26;956
27;827
28;781
29;732
30;758
31;633
32;640
33;543
34;535
35;512
36;446
37;446
38;423
39;404
40;370
41;330
42;325
43;306
44;254
45;301
46;255
47;232
48;234
49;206
50;240
51;188
52;184
53;169
54;178
55;175
56;156
57;168
58;156
59;142
60;137
61;126
62;127
63;127
64;106
65;88
66;113
67;104
68;104
69;107
70;81
71;87
72;81
73;91
74;75
75;84
76;73
77;75
78;51
79;61
80;69
81;55
82;60
83;61
84;53
85;54
86;42
87;45
88;49
89;44
90;42
91;47
92;44
93;44
94;42
95;46
96;43
97;36
98;45
99;40
100;36
101;47
102;34
103;28
104;32
105;34
106;29
107;37
108;38
109;39
110;34
111;24
112;27
113;20
114;20
115;23
116;27
117;20
118;23
119;13
120;27
121;23
122;19
123;22
124;19
125;15
126;18
127;19
128;9
129;9
130;19
131;22
132;8
133;17
134;20
135;25
136;15
137;19
138;12
139;20
140;12
141;18
142;11
143;11
144;17
145;7
146;13
147;11
148;17
149;9
150;12
151;15
152;5
153;9
154;7
155;7
156;7
157;7
158;13
159;6
160;14
161;12
162;8
163;10
164;4
165;7
166;10
167;7
168;8
169;7
170;8
171;10
172;8
173;6
174;14
175;9
176;7
177;3
178;4
179;7
180;3
181;11
182;4
183;9
184;11
185;9
186;13
187;11
188;5
189;4
190;8
191;3
192;4
193;7
194;2
195;13
196;3
197;3
198;7
199;11
200;2
201;5
202;8
203;5
204;3
205;6
206;2
207;3
208;5
209;12
210;3
211;4
212;3
213;4
214;2
215;5
216;5
217;3
218;1
219;6
220;5
221;2
222;1
223;2
224;3
225;9
227;5
228;1
229;1
230;3
231;3
232;2
233;3
234;4
235;2
236;5
237;2
239;4
240;3
241;2
242;4
243;6
244;2
245;3
246;5
247;2
248;4
249;2
250;3
252;3
253;1
254;2
255;3
256;3
257;2
259;3
260;2
261;2
262;1
263;2
264;1
265;1
266;3
268;1
269;1
270;2
272;3
273;2
274;1
275;1
276;2
277;1
278;2
279;3
280;2
282;2
284;3
285;3
286;3
287;5
288;3
289;1
291;1
292;2
293;2
294;1
295;1
296;2
297;2
298;2
300;2
301;2
302;3
304;4
305;1
306;4
307;2
309;2
310;1
313;2
316;2
320;1
323;1
324;1
325;1
327;1
328;2
331;1
332;2
335;2
339;1
341;1
342;1
344;1
345;1
346;1
347;2
349;4
350;1
354;3
355;2
356;2
357;2
358;2
360;1
362;1
363;1
365;1
366;2
368;2
370;1
371;2
372;1
374;1
375;3
378;2
380;1
382;2
383;2
385;2
387;1
390;2
393;1
394;1
403;1
404;1
406;1
409;3
411;1
416;2
417;3
419;1
422;1
427;1
432;1
435;1
436;1
439;1
449;1
450;2
451;2
456;1
457;1
464;1
467;1
468;1
471;1
474;1
476;1
482;1
489;1
490;1
491;1
497;1
507;1
518;2
519;1
523;1
526;1
528;1
532;1
545;1
550;1
554;1
558;2
560;1
564;1
570;2
571;1
574;1
577;1
578;1
587;1
593;1
612;1
639;1
644;1
690;1
693;1
891;1
980;1
