PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
3995388;8396650;2;1;null;1;""
3995388;30433807;2;1;1;1;""
3995388;34076313;2;1;1;1;""
3995388;54651442;2;1;1;1;""
3995388;83690848;2;1;1;1;""
3995388;83699321;2;1;1;1;""
3995388;121815564;2;1;1;null;""
3995388;8396650;1;2;null;2;""
3995388;30433807;1;2;2;2;""
3995388;34076313;1;2;2;2;""
3995388;54651442;1;2;2;2;""
3995388;83690848;1;2;2;2;""
3995388;83699321;1;2;2;2;""
3995388;121815564;1;2;2;null;""
3995388;8396650;2;3;null;3;""
3995388;30433807;2;3;3;3;""
3995388;34076313;2;3;3;3;""
3995388;54651442;2;3;3;3;""
3995388;83690848;2;3;3;3;""
3995388;83699321;2;3;3;3;""
3995388;121815564;2;3;3;null;""
3995388;8396650;1;4;null;4;""
3995388;30433807;1;4;4;4;""
3995388;34076313;1;4;4;4;""
3995388;54651442;1;4;4;4;""
3995388;83690848;1;4;4;4;""
3995388;83699321;1;4;4;4;""
3995388;121815564;1;4;4;null;""
