PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"431715";"706587";"1";"1";"null";"1";"";
"431715";"706588";"1";"1";"1";"1";"";
"431715";"706589";"1";"1";"1";"3";"";
"431715";"41368946";"1";"3";"1";"3";"";
"431715";"110980631";"1";"3";"3";"3";"";
"431715";"115442665";"1";"3";"3";"3";"";
"431715";"147502692";"1";"3";"3";"null";"";
"431715";"706587";"2";"2";"null";"2";"";
"431715";"706588";"2";"2";"2";"2";"";
"431715";"706589";"2";"2";"2";"4";"";
"431715";"41368946";"2";"4";"2";"null";"";
"431715";"706587";"1";"3";"null";"null";"";
"431715";"706589";"1";"3";"null";"5";"";
"431715";"41368946";"1";"5";"3";"null";"";
"431715";"41368946";"1";"1";"null";"1";"";
"431715";"110980631";"1";"1";"1";"1";"";
"431715";"115442665";"1";"1";"1";"1";"";
"431715";"147502692";"1";"1";"1";"null";"";
"431715";"41368946";"2";"2";"null";"2";"";
"431715";"110980631";"2";"2";"2";"2";"";
"431715";"115442665";"2";"2";"2";"2";"";
"431715";"147502692";"2";"2";"2";"null";"";
