PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
32919899;100985387;1;1;null;1;""
32919899;100985407;1;1;1;1;""
32919899;100985467;1;1;1;null;""
32919899;100985387;2;2;null;null;""
32919899;100985387;1;3;null;3;""
32919899;100985407;1;3;3;3;""
32919899;100985467;1;3;3;null;""
32919899;100985387;2;4;null;4;""
32919899;100985407;2;4;4;4;""
32919899;100985467;2;4;4;null;""
32919899;100985387;1;5;null;5;""
32919899;100985407;1;5;5;5;""
32919899;100985467;1;5;5;null;""
32919899;100985387;2;6;null;6;""
32919899;100985407;2;6;6;6;""
32919899;100985467;2;6;6;null;""
32919899;100985407;2;2;null;2;""
32919899;100985467;2;2;2;null;""
32919899;100985467;1;7;null;null;""
