PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"19523370";"49850671";"1";"1";"null";"1";""
"19523370";"146833187";"1";"1";"1";"null";""
"19523370";"49850671";"2";"2";"null";"2";""
"19523370";"146833187";"2";"2";"2";"null";""
"19523370";"49850671";"1";"3";"null";"3";""
"19523370";"146833187";"1";"3";"3";"null";""
"19523370";"49850671";"2";"4";"null";"4";""
"19523370";"146833187";"2";"4";"4";"null";""
"19523370";"49850671";"1";"5";"null";"5";""
"19523370";"146833187";"1";"5";"5";"null";""
"19523370";"49850671";"2";"6";"null";"6";""
"19523370";"146833187";"2";"6";"6";"null";""
"19523370";"49850671";"1";"7";"null";"7";""
"19523370";"146833187";"1";"7";"7";"null";""
"19523370";"49850671";"2";"8";"null";"8";""
"19523370";"146833187";"2";"8";"8";"null";""
"19523370";"49850671";"1";"9";"null";"9";""
"19523370";"146833187";"1";"9";"9";"null";""
"19523370";"49850671";"2";"10";"null";"10";""
"19523370";"146833187";"2";"10";"10";"null";""
"19523370";"49850671";"1";"11";"null";"11";""
"19523370";"146833187";"1";"11";"11";"null";""
