PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"36082771";"113545024";"1";"1";"null";"1";"";
"36082771";"113550487";"1";"1";"1";"1";"";
"36082771";"113550489";"1";"1";"1";"1";"";
"36082771";"147630303";"1";"1";"1";"null";"";
"36082771";"113545024";"2";"2";"null";"2";"";
"36082771";"113550487";"2";"2";"2";"2";"";
"36082771";"113550489";"2";"2";"2";"2";"";
"36082771";"147630303";"2";"2";"2";"null";"";
"36082771";"113545024";"1";"3";"null";"3";"";
"36082771";"113550487";"1";"3";"3";"3";"";
"36082771";"113550489";"1";"3";"3";"3";"";
"36082771";"147630303";"1";"3";"3";"null";"";
"36082771";"113545024";"2";"4";"null";"4";"";
"36082771";"113550487";"2";"4";"4";"4";"";
"36082771";"113550489";"2";"4";"4";"4";"";
"36082771";"147630303";"2";"4";"4";"null";"";
"36082771";"113545024";"1";"5";"null";"null";"";
"36082771";"113545024";"2";"6";"null";"null";"";
"36082771";"113545024";"1";"7";"null";"null";"";
"36082771";"113545024";"2";"8";"null";"null";"";
"36082771";"113545024";"1";"9";"null";"5";"";
"36082771";"113550487";"1";"5";"9";"5";"";
"36082771";"113550489";"1";"5";"5";"5";"";
"36082771";"147630303";"1";"5";"5";"null";"";
"36082771";"113545024";"2";"10";"null";"6";"";
"36082771";"113550487";"2";"6";"10";"6";"";
"36082771";"113550489";"2";"6";"6";"6";"";
"36082771";"147630303";"2";"6";"6";"null";"";
"36082771";"113545024";"1";"11";"null";"7";"";
"36082771";"113550487";"1";"7";"11";"7";"";
"36082771";"113550489";"1";"7";"7";"7";"";
"36082771";"147630303";"1";"7";"7";"null";"";
"36082771";"113545024";"2";"12";"null";"8";"";
"36082771";"113550487";"2";"8";"12";"8";"";
"36082771";"113550489";"2";"8";"8";"8";"";
"36082771";"147630303";"2";"8";"8";"null";"";
"36082771";"113545024";"1";"13";"null";"9";"";
"36082771";"113550487";"1";"9";"13";"9";"";
"36082771";"113550489";"1";"9";"9";"9";"";
"36082771";"147630303";"1";"9";"9";"null";"";
"36082771";"113545024";"2";"14";"null";"10";"";
"36082771";"113550487";"2";"10";"14";"10";"";
"36082771";"113550489";"2";"10";"10";"10";"";
"36082771";"147630303";"2";"10";"10";"null";"";
"36082771";"113545024";"1";"15";"null";"11";"";
"36082771";"113550487";"1";"11";"15";"11";"";
"36082771";"113550489";"1";"11";"11";"11";"";
"36082771";"147630303";"1";"11";"11";"null";"";
"36082771";"113545024";"2";"16";"null";"12";"";
"36082771";"113550487";"2";"12";"16";"12";"";
"36082771";"113550489";"2";"12";"12";"12";"";
"36082771";"147630303";"2";"12";"12";"null";"";
