PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"3381751";"7034776";"1";"1";"null";"1";"";
"3381751";"7034800";"1";"1";"1";"1";"";
"3381751";"7034816";"1";"1";"1";"1";"";
"3381751";"7034828";"1";"1";"1";"1";"";
"3381751";"7034833";"1";"1";"1";"1";"";
"3381751";"7034847";"1";"1";"1";"1";"";
"3381751";"7034904";"1";"1";"1";"1";"";
"3381751";"7034945";"1";"1";"1";"1";"";
"3381751";"7035092";"1";"1";"1";"1";"";
"3381751";"7035103";"1";"1";"1";"1";"";
"3381751";"7035143";"1";"1";"1";"1";"";
"3381751";"7035179";"1";"1";"1";"1";"";
"3381751";"7035186";"1";"1";"1";"1";"";
"3381751";"7035204";"1";"1";"1";"1";"";
"3381751";"7035205";"1";"1";"1";"null";"";
"3381751";"7034776";"2";"2";"null";"2";"";
"3381751";"7034800";"2";"2";"2";"2";"";
"3381751";"7034816";"2";"2";"2";"2";"";
"3381751";"7034828";"2";"2";"2";"2";"";
"3381751";"7034833";"2";"2";"2";"2";"";
"3381751";"7034847";"2";"2";"2";"2";"";
"3381751";"7034904";"2";"2";"2";"2";"";
"3381751";"7034945";"2";"2";"2";"2";"";
"3381751";"7035092";"2";"2";"2";"2";"";
"3381751";"7035103";"2";"2";"2";"2";"";
"3381751";"7035143";"2";"2";"2";"2";"";
"3381751";"7035179";"2";"2";"2";"2";"";
"3381751";"7035186";"2";"2";"2";"2";"";
"3381751";"7035204";"2";"2";"2";"2";"";
"3381751";"7035205";"2";"2";"2";"null";"";
"3381751";"7034776";"1";"3";"null";"3";"";
"3381751";"7034800";"1";"3";"3";"3";"";
"3381751";"7034816";"1";"3";"3";"3";"";
"3381751";"7034828";"1";"3";"3";"3";"";
"3381751";"7034833";"1";"3";"3";"3";"";
"3381751";"7034847";"1";"3";"3";"3";"";
"3381751";"7034904";"1";"3";"3";"3";"";
"3381751";"7034945";"1";"3";"3";"null";"";
"3381751";"7035092";"1";"3";"null";"null";"";
"3381751";"7035103";"1";"3";"null";"3";"";
"3381751";"7035143";"1";"3";"3";"3";"";
"3381751";"7035179";"1";"3";"3";"3";"";
"3381751";"7035186";"1";"3";"3";"5";"";
"3381751";"7035204";"1";"5";"3";"3";"";
"3381751";"7035205";"1";"3";"5";"null";"";
"3381751";"7035204";"1";"3";"null";"null";"";
"3381751";"7035204";"2";"4";"null";"null";"";
