PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
44396538;148759713;1;1;null;1;""
44396538;148762740;1;1;1;1;""
44396538;148763231;1;1;1;1;""
44396538;148763929;1;1;1;1;""
44396538;148767613;1;1;1;1;""
44396538;148773240;1;1;1;1;""
44396538;148773716;1;1;1;1;""
44396538;148775511;1;1;1;null;""
44396538;148759713;2;2;null;2;""
44396538;148762740;2;2;2;2;""
44396538;148763231;2;2;2;2;""
44396538;148763929;2;2;2;2;""
44396538;148767613;2;2;2;null;""
44396538;148759713;1;3;null;3;""
44396538;148762740;1;3;3;3;""
44396538;148763231;1;3;3;3;""
44396538;148763929;1;3;3;3;""
44396538;148767613;1;3;3;null;""
44396538;148759713;2;4;null;4;""
44396538;148762740;2;4;4;4;""
44396538;148763231;2;4;4;4;""
44396538;148763929;2;4;4;4;""
44396538;148767613;2;4;4;null;""
44396538;148759713;1;5;null;5;""
44396538;148762740;1;5;5;5;""
44396538;148763231;1;5;5;5;""
44396538;148763929;1;5;5;5;""
44396538;148767613;1;5;5;null;""
44396538;148759713;2;6;null;6;""
44396538;148762740;2;6;6;6;""
44396538;148763231;2;6;6;6;""
44396538;148763929;2;6;6;6;""
44396538;148767613;2;6;6;null;""
44396538;148759713;1;7;null;7;""
44396538;148762740;1;7;7;7;""
44396538;148763231;1;7;7;7;""
44396538;148763929;1;7;7;7;""
44396538;148767613;1;7;7;null;""
44396538;148759713;2;8;null;8;""
44396538;148762740;2;8;8;8;""
44396538;148763231;2;8;8;8;""
44396538;148763929;2;8;8;8;""
44396538;148767613;2;8;8;null;""
44396538;148759713;1;9;null;9;""
44396538;148762740;1;9;9;9;""
44396538;148763231;1;9;9;9;""
44396538;148763929;1;9;9;9;""
44396538;148767613;1;9;9;4;""
44396538;148773240;1;4;9;3;""
44396538;148773716;1;3;4;7;""
44396538;148775511;1;7;3;null;""
44396538;148759713;2;10;null;10;""
44396538;148762740;2;10;10;10;""
44396538;148763231;2;10;10;10;""
44396538;148763929;2;10;10;10;""
44396538;148767613;2;10;10;5;""
44396538;148773240;2;5;10;4;""
44396538;148773716;2;4;5;8;""
44396538;148775511;2;8;4;null;""
44396538;148759713;1;11;null;11;""
44396538;148762740;1;11;11;11;""
44396538;148763231;1;11;11;11;""
44396538;148763929;1;11;11;11;""
44396538;148767613;1;11;11;null;""
44396538;148763929;2;12;null;12;""
44396538;148767613;2;12;12;null;""
44396538;148763929;1;13;null;13;""
44396538;148767613;1;13;13;null;""
44396538;148773240;1;2;null;null;""
44396538;148773240;2;3;null;2;""
44396538;148773716;2;2;3;2;""
44396538;148775511;2;2;2;null;""
44396538;148773240;1;6;null;5;""
44396538;148773716;1;5;6;null;""
44396538;148775511;1;3;null;null;""
44396538;148775511;2;4;null;null;""
44396538;148775511;1;5;null;null;""
44396538;148775511;2;6;null;null;""
44396538;148775511;1;9;null;null;""
