PostId; PostHistoryId; PostBlockTypeId; LocalId; PredLocalId; SuccLocalId; Comment
"5445161"; "11662441"; "1"; "1"; "null"; "1"; ""; 
"5445161"; "21230790"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "21289331"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "22770107"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "25270546"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "30827994"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "31249705"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "34610234"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "39215507"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "44935719"; "1"; "1"; "1"; "1"; ""; 
"5445161"; "106108210"; "1"; "1"; "1"; "null"; ""; 
"5445161"; "11662441"; "2"; "2"; "null"; "2"; ""; 
"5445161"; "21230790"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "21289331"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "22770107"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "25270546"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "30827994"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "31249705"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "34610234"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "39215507"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "44935719"; "2"; "2"; "2"; "2"; ""; 
"5445161"; "106108210"; "2"; "2"; "2"; "null"; ""; 
"5445161"; "11662441"; "1"; "3"; "null"; "3"; ""; 
"5445161"; "21230790"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "21289331"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "22770107"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "25270546"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "30827994"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "31249705"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "34610234"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "39215507"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "44935719"; "1"; "3"; "3"; "3"; ""; 
"5445161"; "106108210"; "1"; "3"; "3"; "null"; ""; 
