PostId; PostHistoryId; PostBlockTypeId; LocalId; PredLocalId; SuccLocalId; Comment
"2581754"; "5280933"; "1"; "1"; "null"; "1"; ""; 
"2581754"; "22891948"; "1"; "1"; "1"; "1"; ""; 
"2581754"; "67971723"; "1"; "1"; "1"; "1"; ""; 
"2581754"; "71864192"; "1"; "1"; "1"; "1"; ""; 
"2581754"; "103898153"; "1"; "1"; "1"; "1"; ""; 
"2581754"; "116029327"; "1"; "1"; "1"; "1"; ""; 
"2581754"; "125739633"; "1"; "1"; "1"; "1"; ""; 
"2581754"; "125739823"; "1"; "1"; "1"; "null"; ""; 
"2581754"; "5280933"; "2"; "2"; "null"; "2"; ""; 
"2581754"; "22891948"; "2"; "2"; "2"; "2"; ""; 
"2581754"; "67971723"; "2"; "2"; "2"; "2"; ""; 
"2581754"; "71864192"; "2"; "2"; "2"; "2"; ""; 
"2581754"; "103898153"; "2"; "2"; "2"; "2"; ""; 
"2581754"; "116029327"; "2"; "2"; "2"; "2"; ""; 
"2581754"; "125739633"; "2"; "2"; "2"; "2"; ""; 
"2581754"; "125739823"; "2"; "2"; "2"; "null"; ""; 
"2581754"; "5280933"; "1"; "3"; "null"; "3"; ""; 
"2581754"; "22891948"; "1"; "3"; "3"; "3"; ""; 
"2581754"; "67971723"; "1"; "3"; "3"; "3"; ""; 
"2581754"; "71864192"; "1"; "3"; "3"; "3"; ""; 
"2581754"; "103898153"; "1"; "3"; "3"; "3"; ""; 
"2581754"; "116029327"; "1"; "3"; "3"; "3"; ""; 
"2581754"; "125739633"; "1"; "3"; "3"; "3"; ""; 
"2581754"; "125739823"; "1"; "3"; "3"; "null"; ""; 
"2581754"; "5280933"; "2"; "4"; "null"; "4"; ""; 
"2581754"; "22891948"; "2"; "4"; "4"; "4"; ""; 
"2581754"; "67971723"; "2"; "4"; "4"; "4"; ""; 
"2581754"; "71864192"; "2"; "4"; "4"; "4"; ""; 
"2581754"; "103898153"; "2"; "4"; "4"; "4"; ""; 
"2581754"; "116029327"; "2"; "4"; "4"; "4"; ""; 
"2581754"; "125739633"; "2"; "4"; "4"; "4"; ""; 
"2581754"; "125739823"; "2"; "4"; "4"; "null"; ""; 
"2581754"; "67971723"; "1"; "5"; "null"; "5"; ""; 
"2581754"; "71864192"; "1"; "5"; "5"; "5"; ""; 
"2581754"; "103898153"; "1"; "5"; "5"; "5"; ""; 
"2581754"; "116029327"; "1"; "5"; "5"; "5"; ""; 
"2581754"; "125739633"; "1"; "5"; "5"; "5"; ""; 
"2581754"; "125739823"; "1"; "5"; "5"; "null"; ""; 
"2581754"; "67971723"; "2"; "6"; "null"; "6"; ""; 
"2581754"; "71864192"; "2"; "6"; "6"; "6"; ""; 
"2581754"; "103898153"; "2"; "6"; "6"; "6"; ""; 
"2581754"; "116029327"; "2"; "6"; "6"; "6"; ""; 
"2581754"; "125739633"; "2"; "6"; "6"; "6"; ""; 
"2581754"; "125739823"; "2"; "6"; "6"; "null"; ""; 
"2581754"; "71864192"; "1"; "7"; "null"; "7"; ""; 
"2581754"; "103898153"; "1"; "7"; "7"; "7"; ""; 
"2581754"; "116029327"; "1"; "7"; "7"; "7"; ""; 
"2581754"; "125739633"; "1"; "7"; "7"; "7"; ""; 
"2581754"; "125739823"; "1"; "7"; "7"; "null"; ""; 
"2581754"; "71864192"; "2"; "8"; "null"; "8"; ""; 
"2581754"; "103898153"; "2"; "8"; "8"; "8"; ""; 
"2581754"; "116029327"; "2"; "8"; "8"; "8"; ""; 
"2581754"; "125739633"; "2"; "8"; "8"; "8"; ""; 
"2581754"; "125739823"; "2"; "8"; "8"; "null"; ""; 
