PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
41212928;134121979;1;1;null;1;""
41212928;134123062;1;1;1;1;""
41212928;134123626;1;1;1;1;""
41212928;134124543;1;1;1;1;""
41212928;134124866;1;1;1;1;""
41212928;134127004;1;1;1;1;""
41212928;134128891;1;1;1;1;""
41212928;134128927;1;1;1;1;""
41212928;134128961;1;1;1;null;""
41212928;134121979;2;2;null;2;""
41212928;134123062;2;2;2;2;""
41212928;134123626;2;2;2;2;""
41212928;134124543;2;2;2;2;""
41212928;134124866;2;2;2;2;""
41212928;134127004;2;2;2;null;""
41212928;134128927;2;2;null;2;""
41212928;134128961;2;2;2;null;""
