PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"23940115";"66207358";"1";"1";"null";"1";"";
"23940115";"147467004";"1";"1";"1";"null";"";
"23940115";"66207358";"2";"2";"null";"2";"";
"23940115";"147467004";"2";"2";"2";"null";"";
"23940115";"66207358";"1";"3";"null";"3";"";
"23940115";"147467004";"1";"3";"3";"null";"";
"23940115";"66207358";"2";"4";"null";"4";"";
"23940115";"147467004";"2";"4";"4";"null";"";
"23940115";"66207358";"1";"5";"null";"5";"";
"23940115";"147467004";"1";"5";"5";"null";"";
"23940115";"66207358";"2";"6";"null";"6";"";
"23940115";"147467004";"2";"6";"6";"null";"";
