PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"15372744";"37351235";"1";"1";"null";"3";"";
"15372744";"37357498";"1";"3";"1";"3";"";
"15372744";"37366248";"1";"3";"3";"3";"";
"15372744";"37408779";"1";"3";"3";"3";"";
"15372744";"37409127";"1";"3";"3";"3";"";
"15372744";"37540640";"1";"3";"3";"3";"";
"15372744";"37540911";"1";"3";"3";"null";"";
"15372744";"37357498";"1";"1";"null";"1";"";
"15372744";"37366248";"1";"1";"1";"1";"";
"15372744";"37408779";"1";"1";"1";"1";"";
"15372744";"37409127";"1";"1";"1";"1";"";
"15372744";"37540640";"1";"1";"1";"1";"";
"15372744";"37540911";"1";"1";"1";"null";"";
"15372744";"37357498";"2";"2";"null";"2";"";
"15372744";"37366248";"2";"2";"2";"2";"";
"15372744";"37408779";"2";"2";"2";"2";"";
"15372744";"37409127";"2";"2";"2";"2";"";
"15372744";"37540640";"2";"2";"2";"2";"";
"15372744";"37540911";"2";"2";"2";"null";"";
