PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
23674146;65180330;1;1;null;1;
23674146;65180330;2;2;null;2;
23674146;65180330;1;3;null;3;
23674146;65183083;1;1;1;1;
23674146;65183083;2;2;2;2;
23674146;65183083;1;3;3;7;
23674146;65184383;1;1;1;1;
23674146;65184383;2;2;2;2;
23674146;65184383;1;3;null;3;
23674146;65184383;2;4;null;4;
23674146;65184383;1;5;null;7;
23674146;65184383;2;6;null;8;
23674146;65184383;1;7;3;9;
23674146;65188833;1;1;1;null;
23674146;65188833;2;2;2;null;
23674146;65188833;1;3;3;null;
23674146;65188833;2;4;4;null;
23674146;65188833;1;5;null;null;
23674146;65188833;2;6;null;null;
23674146;65188833;1;7;5;null;
23674146;65188833;2;8;6;null;
23674146;65188833;1;9;7;null;
