PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"14839318";"35871416";"1";"1";"null";"1";""
"14839318";"35872649";"1";"1";"1";"1";""
"14839318";"35886974";"1";"1";"1";"null";""
"14839318";"35871416";"2";"2";"null";"2";""
"14839318";"35872649";"2";"2";"2";"2";""
"14839318";"35886974";"2";"2";"2";"null";""
"14839318";"35871416";"1";"3";"null";"3";""
"14839318";"35872649";"1";"3";"3";"3";""
"14839318";"35886974";"1";"3";"3";"null";""
"14839318";"35871416";"2";"4";"null";"4";""
"14839318";"35872649";"2";"4";"4";"4";""
"14839318";"35886974";"2";"4";"4";"null";""
"14839318";"35872649";"1";"5";"null";"5";""
"14839318";"35886974";"1";"5";"5";"null";""
"14839318";"35872649";"2";"6";"null";"6";""
"14839318";"35886974";"2";"6";"6";"null";""
"14839318";"35886974";"1";"7";"null";"null";""
"14839318";"35886974";"2";"8";"null";"null";""
