PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"23658425";"65120146";"1";"1";"null";"1";"";
"23658425";"65329304";"1";"1";"1";"1";"";
"23658425";"92378500";"1";"1";"1";"null";"";
"23658425";"65120146";"2";"2";"null";"2";"";
"23658425";"65329304";"2";"2";"2";"2";"";
"23658425";"92378500";"2";"2";"2";"null";"";
"23658425";"65120146";"1";"3";"null";"3";"";
"23658425";"65329304";"1";"3";"3";"3";"";
"23658425";"92378500";"1";"3";"3";"null";"";
"23658425";"65329304";"2";"4";"null";"6";"";
"23658425";"92378500";"2";"6";"4";"null";"";
"23658425";"65329304";"1";"5";"null";"7";"";
"23658425";"92378500";"1";"7";"5";"null";"";
"23658425";"92378500";"2";"4";"null";"null";"";
"23658425";"92378500";"1";"5";"null";"null";"";
