PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
42139774;137993917;1;1;null;1;""
42139774;137997062;1;1;1;1;""
42139774;137997064;1;1;1;null;""
42139774;137993917;2;2;null;null;""
42139774;137993917;1;3;null;null;""
42139774;137993917;2;4;null;null;""
42139774;137993917;1;5;null;null;" Nicht richtig unterteilt"
42139774;137997062;2;2;null;2;" Zusammengefügter Codeblock"
42139774;137997064;2;2;2;null;""
42139774;137997062;1;3;null;3;""
42139774;137997064;1;3;3;null;""
42139774;137997062;2;4;null;4;""
42139774;137997064;2;4;4;null;""
42139774;137997062;1;5;null;5;""
42139774;137997064;1;5;5;null;""
42139774;137997062;2;6;null;6;""
42139774;137997064;2;6;6;null;""
42139774;137997062;1;7;null;7;""
42139774;137997064;1;7;7;null;""
