PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
18730043;47020435;1;1;null;1;""
18730043;47021904;1;1;1;1;""
18730043;47105225;1;1;1;1;""
18730043;130969861;1;1;1;null;""
18730043;47020435;2;2;null;2;""
18730043;47021904;2;2;2;2;""
18730043;47105225;2;2;2;2;""
18730043;130969861;2;2;2;null;""
18730043;47021904;1;3;null;3;""
18730043;47105225;1;3;3;3;""
18730043;130969861;1;3;3;null;""
18730043;47021904;2;4;null;4;""
18730043;47105225;2;4;4;4;""
18730043;130969861;2;4;4;null;""
